Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result,Match Date
VCT 2025: China Stage 1,Group Stage,Week 3,TYLOO vs Titan Esports Club,TYLOO,Titan Esports Club,1,2,Titan Esports Club won,
VCT 2025: China Stage 1,Group Stage,Week 3,Dragon Ranger Gaming vs EDward Gaming,Dragon Ranger Gaming,EDward Gaming,1,2,EDward Gaming won,
VCT 2025: China Stage 1,Group Stage,Week 3,Nova Esports vs FunPlus Phoenix,Nova Esports,FunPlus Phoenix,2,0,Nova Esports won,
VCT 2025: China Stage 1,Group Stage,Week 3,All Gamers vs Bilibili Gaming,All Gamers,Bilibili Gaming,0,2,Bilibili Gaming won,
VCT 2025: China Stage 1,Group Stage,Week 4,FunPlus Phoenix vs Dragon Ranger Gaming,FunPlus Phoenix,Dragon Ranger Gaming,0,2,Dragon Ranger Gaming won,
VCT 2025: China Stage 1,Group Stage,Week 4,Bilibili Gaming vs Wolves Esports,Bilibili Gaming,Wolves Esports,2,1,Bilibili Gaming won,
VCT 2025: China Stage 1,Group Stage,Week 4,All Gamers vs JDG Esports,All Gamers,JDG Esports,0,2,JDG Esports won,
VCT 2025: China Stage 1,Group Stage,Week 4,EDward Gaming vs Titan Esports Club,EDward Gaming,Titan Esports Club,2,1,EDward Gaming won,
VCT 2025: China Stage 1,Group Stage,Week 4,Nova Esports vs TYLOO,Nova Esports,TYLOO,2,1,Nova Esports won,
VCT 2025: China Stage 1,Group Stage,Week 4,Trace Esports vs Xi Lai Gaming,Trace Esports,Xi Lai Gaming,1,2,Xi Lai Gaming won,
VCT 2025: China Stage 1,Group Stage,Week 5,JDG Esports vs Xi Lai Gaming,JDG Esports,Xi Lai Gaming,1,2,Xi Lai Gaming won,
VCT 2025: China Stage 1,Group Stage,Week 5,Dragon Ranger Gaming vs TYLOO,Dragon Ranger Gaming,TYLOO,1,2,TYLOO won,
VCT 2025: China Stage 1,Group Stage,Week 5,Wolves Esports vs All Gamers,Wolves Esports,All Gamers,2,1,Wolves Esports won,
VCT 2025: China Stage 1,Group Stage,Week 5,Bilibili Gaming vs Trace Esports,Bilibili Gaming,Trace Esports,1,2,Trace Esports won,
VCT 2025: China Stage 1,Group Stage,Week 5,Titan Esports Club vs Nova Esports,Titan Esports Club,Nova Esports,2,0,Titan Esports Club won,
VCT 2025: China Stage 1,Group Stage,Week 5,EDward Gaming vs FunPlus Phoenix,EDward Gaming,FunPlus Phoenix,2,0,EDward Gaming won,
VCT 2025: Americas Stage 1,Group Stage,Week 1,Cloud9 vs NRG,Cloud9,NRG,2,1,Cloud9 won,
VCT 2025: Americas Stage 1,Group Stage,Week 1,KRÜ Esports vs LOUD,KRÜ Esports,LOUD,2,1,KRÜ Esports won,
VCT 2025: Americas Stage 1,Group Stage,Week 1,G2 Esports vs FURIA,G2 Esports,FURIA,2,0,G2 Esports won,
VCT 2025: Americas Stage 1,Group Stage,Week 1,MIBR vs LEVIATÁN,MIBR,LEVIATÁN,2,0,MIBR won,
VCT 2025: Americas Stage 1,Group Stage,Week 1,2Game Esports vs Evil Geniuses,2Game Esports,Evil Geniuses,0,2,Evil Geniuses won,
VCT 2025: Americas Stage 1,Group Stage,Week 1,Sentinels vs 100 Thieves,Sentinels,100 Thieves,2,1,Sentinels won,
VCT 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,NRG,FURIA,2,1,NRG won,
VCT 2025: Americas Stage 1,Group Stage,Week 2,Sentinels vs KRÜ Esports,Sentinels,KRÜ Esports,0,2,KRÜ Esports won,
VCT 2025: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Evil Geniuses,100 Thieves,Evil Geniuses,2,0,100 Thieves won,
VCT 2025: Americas Stage 1,Group Stage,Week 2,G2 Esports vs MIBR,G2 Esports,MIBR,2,1,G2 Esports won,
VCT 2025: Americas Stage 1,Group Stage,Week 2,LOUD vs 2Game Esports,LOUD,2Game Esports,0,2,2Game Esports won,
VCT 2025: Americas Stage 1,Group Stage,Week 2,LEVIATÁN vs Cloud9,LEVIATÁN,Cloud9,0,2,Cloud9 won,
VCT 2025: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Evil Geniuses,Sentinels,0,2,Sentinels won,
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,100 Thieves,LOUD,2,1,100 Thieves won,
VCT 2025: Americas Stage 1,Group Stage,Week 3,2Game Esports vs KRÜ Esports,2Game Esports,KRÜ Esports,1,2,KRÜ Esports won,
VCT 2025: Americas Stage 1,Group Stage,Week 3,G2 Esports vs NRG,G2 Esports,NRG,2,0,G2 Esports won,
VCT 2025: Americas Stage 1,Group Stage,Week 3,FURIA vs LEVIATÁN,FURIA,LEVIATÁN,0,2,LEVIATÁN won,
VCT 2025: Americas Stage 1,Group Stage,Week 3,Cloud9 vs MIBR,Cloud9,MIBR,1,2,MIBR won,
VCT 2025: Americas Stage 1,Group Stage,Week 4,100 Thieves vs 2Game Esports,100 Thieves,2Game Esports,2,0,100 Thieves won,
VCT 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,G2 Esports,LEVIATÁN,2,1,G2 Esports won,
VCT 2025: Americas Stage 1,Group Stage,Week 4,FURIA vs Cloud9,FURIA,Cloud9,0,2,Cloud9 won,
VCT 2025: Americas Stage 1,Group Stage,Week 4,Sentinels vs LOUD,Sentinels,LOUD,2,1,Sentinels won,
VCT 2025: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs Evil Geniuses,KRÜ Esports,Evil Geniuses,0,2,Evil Geniuses won,
VCT 2025: Americas Stage 1,Group Stage,Week 4,NRG vs MIBR,NRG,MIBR,0,2,MIBR won,
VCT 2025: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,G2 Esports,Cloud9,2,1,G2 Esports won,
VCT 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,MIBR,FURIA,2,1,MIBR won,
VCT 2025: Americas Stage 1,Group Stage,Week 5,Sentinels vs 2Game Esports,Sentinels,2Game Esports,2,0,Sentinels won,
VCT 2025: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs 100 Thieves,KRÜ Esports,100 Thieves,2,0,KRÜ Esports won,
VCT 2025: Americas Stage 1,Group Stage,Week 5,Evil Geniuses vs LOUD,Evil Geniuses,LOUD,2,1,Evil Geniuses won,
VCT 2025: Americas Stage 1,Group Stage,Week 5,LEVIATÁN vs NRG,LEVIATÁN,NRG,0,2,NRG won,
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,BBL Esports vs Natus Vincere,BBL Esports,Natus Vincere,2,0,BBL Esports won,
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,FNATIC vs FUT Esports,FNATIC,FUT Esports,2,0,FNATIC won,
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Natus Vincere,Karmine Corp,2,1,Natus Vincere won,
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,FUT Esports vs Team Vitality,FUT Esports,Team Vitality,2,0,FUT Esports won,
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,Team Heretics,BBL Esports,2,0,Team Heretics won,
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Liquid vs FNATIC,Team Liquid,FNATIC,1,2,FNATIC won,
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,BBL Esports vs FUT Esports,BBL Esports,FUT Esports,2,1,BBL Esports won,
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,Team Liquid vs Natus Vincere,Team Liquid,Natus Vincere,2,1,Team Liquid won,
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Team Heretics vs FNATIC,Team Heretics,FNATIC,0,2,FNATIC won,
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Team Heretics vs Team Liquid,Team Heretics,Team Liquid,3,0,Team Heretics won,
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,FNATIC,Team Heretics,3,0,FNATIC won,
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,TALON vs Gen.G,TALON,Gen.G,1,2,Gen.G won,
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,DRX vs T1,DRX,T1,2,0,DRX won,
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,BOOM Esports vs Gen.G,BOOM Esports,Gen.G,0,2,Gen.G won,
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Rex Regum Qeon vs DRX,Rex Regum Qeon,DRX,2,1,Rex Regum Qeon won,
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,T1 vs Paper Rex,T1,Paper Rex,1,2,Paper Rex won,
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,DRX vs TALON,DRX,TALON,2,0,DRX won,
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,BOOM Esports vs Paper Rex,BOOM Esports,Paper Rex,0,2,Paper Rex won,
VCT 2025: Pacific Stage 1,Playoffs,Upper Final,Gen.G vs Rex Regum Qeon,Gen.G,Rex Regum Qeon,2,0,Gen.G won,
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 3,DRX vs Paper Rex,DRX,Paper Rex,0,2,Paper Rex won,
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Rex Regum Qeon,Paper Rex,3,2,Rex Regum Qeon won,
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Gen.G vs Rex Regum Qeon,Gen.G,Rex Regum Qeon,1,3,Rex Regum Qeon won,
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Titan Esports Club vs Wolves Esports,Titan Esports Club,Wolves Esports,0,2,Wolves Esports won,
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Xi Lai Gaming vs Nova Esports,Xi Lai Gaming,Nova Esports,2,0,Xi Lai Gaming won,
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Titan Esports Club vs Dragon Ranger Gaming,Titan Esports Club,Dragon Ranger Gaming,1,2,Dragon Ranger Gaming won,
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Nova Esports vs Trace Esports,Nova Esports,Trace Esports,0,2,Trace Esports won,
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,Bilibili Gaming vs Wolves Esports,Bilibili Gaming,Wolves Esports,0,2,Wolves Esports won,
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,EDward Gaming vs Xi Lai Gaming,EDward Gaming,Xi Lai Gaming,0,2,Xi Lai Gaming won,
VCT 2025: China Stage 1,Playoffs,Lower Round 2,Bilibili Gaming vs Trace Esports,Bilibili Gaming,Trace Esports,2,0,Bilibili Gaming won,
VCT 2025: China Stage 1,Playoffs,Lower Round 2,EDward Gaming vs Dragon Ranger Gaming,EDward Gaming,Dragon Ranger Gaming,2,1,EDward Gaming won,
VCT 2025: China Stage 1,Playoffs,Lower Round 3,EDward Gaming vs Bilibili Gaming,EDward Gaming,Bilibili Gaming,1,2,Bilibili Gaming won,
VCT 2025: China Stage 1,Playoffs,Lower Final,Wolves Esports vs Bilibili Gaming,Wolves Esports,Bilibili Gaming,0,3,Bilibili Gaming won,
VCT 2025: China Stage 1,Playoffs,Grand Final,Xi Lai Gaming vs Bilibili Gaming,Xi Lai Gaming,Bilibili Gaming,3,1,Xi Lai Gaming won,
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,MIBR vs 100 Thieves,MIBR,100 Thieves,2,0,MIBR won,
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Sentinels vs Cloud9,Sentinels,Cloud9,2,0,Sentinels won,
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs NRG,100 Thieves,NRG,2,0,100 Thieves won,
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,Cloud9 vs Evil Geniuses,Cloud9,Evil Geniuses,0,2,Evil Geniuses won,
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,KRÜ Esports vs MIBR,KRÜ Esports,MIBR,0,2,MIBR won,
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,G2 Esports,Sentinels,1,2,Sentinels won,
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,G2 Esports vs 100 Thieves,G2 Esports,100 Thieves,2,1,G2 Esports won,
VCT 2025: Americas Stage 1,Playoffs,Upper Final,MIBR vs Sentinels,MIBR,Sentinels,0,2,Sentinels won,
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,G2 Esports,Evil Geniuses,2,1,G2 Esports won,
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,MIBR,G2 Esports,1,3,G2 Esports won,
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Sentinels,G2 Esports,1,3,G2 Esports won,
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Cloud9,FURIA,2,0,Cloud9 won,
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,LEVIATÁN,LOUD,1,2,LOUD won,
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Evil Geniuses,2Game Esports,2,1,Evil Geniuses won,
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,MIBR,KRÜ Esports,1,2,KRÜ Esports won,
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,100 Thieves,NRG,2,0,100 Thieves won,
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Sentinels,G2 Esports,2,1,Sentinels won,
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,2Game Esports,G2 Esports,0,2,G2 Esports won,
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,FURIA,Sentinels,0,2,Sentinels won,
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,100 Thieves,KRÜ Esports,2,0,100 Thieves won,
VCT 2025: Americas Stage 2,Group Stage,Week 2,NRG vs LOUD,NRG,LOUD,2,0,NRG won,
VCT 2025: Americas Stage 2,Group Stage,Week 2,Cloud9 vs Evil Geniuses,Cloud9,Evil Geniuses,2,0,Cloud9 won,
VCT 2025: Americas Stage 2,Group Stage,Week 2,MIBR vs LEVIATÁN,MIBR,LEVIATÁN,0,2,LEVIATÁN won,
VCT 2025: Americas Stage 2,Group Stage,Week 3,2Game Esports vs FURIA,2Game Esports,FURIA,2,1,2Game Esports won,
VCT 2025: Americas Stage 2,Group Stage,Week 3,LEVIATÁN vs NRG,LEVIATÁN,NRG,1,2,NRG won,
VCT 2025: Americas Stage 2,Group Stage,Week 3,Sentinels vs Cloud9,Sentinels,Cloud9,2,0,Sentinels won,
VCT 2025: Americas Stage 2,Group Stage,Week 3,MIBR vs 100 Thieves,MIBR,100 Thieves,2,0,MIBR won,
VCT 2025: Americas Stage 2,Group Stage,Week 3,G2 Esports vs Evil Geniuses,G2 Esports,Evil Geniuses,2,1,G2 Esports won,
VCT 2025: Americas Stage 2,Group Stage,Week 3,LOUD vs KRÜ Esports,LOUD,KRÜ Esports,1,2,KRÜ Esports won,
VCT 2025: Americas Stage 2,Group Stage,Week 4,Cloud9 vs 2Game Esports,Cloud9,2Game Esports,2,0,Cloud9 won,
VCT 2025: Americas Stage 2,Group Stage,Week 4,MIBR vs NRG,MIBR,NRG,0,2,NRG won,
VCT 2025: Americas Stage 2,Group Stage,Week 4,Sentinels vs Evil Geniuses,Sentinels,Evil Geniuses,2,0,Sentinels won,
VCT 2025: Americas Stage 2,Group Stage,Week 4,LEVIATÁN vs KRÜ Esports,LEVIATÁN,KRÜ Esports,2,1,LEVIATÁN won,
VCT 2025: Americas Stage 2,Group Stage,Week 4,FURIA vs G2 Esports,FURIA,G2 Esports,0,2,G2 Esports won,
VCT 2025: Americas Stage 2,Group Stage,Week 4,LOUD vs 100 Thieves,LOUD,100 Thieves,1,2,100 Thieves won,
VCT 2025: Americas Stage 2,Group Stage,Week 5,KRÜ Esports vs NRG,KRÜ Esports,NRG,1,2,NRG won,
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,100 Thieves,LEVIATÁN,1,2,LEVIATÁN won,
VCT 2025: Americas Stage 2,Group Stage,Week 5,FURIA vs Evil Geniuses,FURIA,Evil Geniuses,0,2,Evil Geniuses won,
VCT 2025: Americas Stage 2,Group Stage,Week 5,2Game Esports vs Sentinels,2Game Esports,Sentinels,1,2,Sentinels won,
VCT 2025: Americas Stage 2,Group Stage,Week 5,G2 Esports vs Cloud9,G2 Esports,Cloud9,2,0,G2 Esports won,
VCT 2025: Americas Stage 2,Group Stage,Week 5,MIBR vs LOUD,MIBR,LOUD,2,0,MIBR won,
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Natus Vincere,Apeks,2,1,Natus Vincere won,
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Team Vitality,GIANTX,0,2,GIANTX won,
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,FUT Esports,Gentle Mates,2,1,FUT Esports won,
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Team Liquid,KOI,2,1,Team Liquid won,
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Team Heretics,BBL Esports,2,1,Team Heretics won,
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,FNATIC,Karmine Corp,2,1,FNATIC won,
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Apeks vs Karmine Corp,Apeks,Karmine Corp,1,2,Karmine Corp won,
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,GIANTX,BBL Esports,2,1,GIANTX won,
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Team Liquid vs Natus Vincere,Team Liquid,Natus Vincere,2,0,Team Liquid won,
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Gentle Mates vs Team Heretics,Gentle Mates,Team Heretics,1,2,Team Heretics won,
VCT 2025: EMEA Stage 2,Group Stage,Week 2,FUT Esports vs Team Vitality,FUT Esports,Team Vitality,0,2,Team Vitality won,
VCT 2025: EMEA Stage 2,Group Stage,Week 2,KOI vs FNATIC,KOI,FNATIC,0,2,FNATIC won,
VCT 2025: EMEA Stage 2,Group Stage,Week 3,FUT Esports vs GIANTX,FUT Esports,GIANTX,2,1,FUT Esports won,
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Gentle Mates vs BBL Esports,Gentle Mates,BBL Esports,0,2,BBL Esports won,
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Liquid vs Apeks,Team Liquid,Apeks,2,1,Team Liquid won,
VCT 2025: EMEA Stage 2,Group Stage,Week 3,KOI vs Karmine Corp,KOI,Karmine Corp,1,2,Karmine Corp won,
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Natus Vincere vs FNATIC,Natus Vincere,FNATIC,1,2,FNATIC won,
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Vitality vs Team Heretics,Team Vitality,Team Heretics,0,2,Team Heretics won,
VCT 2025: EMEA Stage 2,Group Stage,Week 4,FUT Esports vs Team Heretics,FUT Esports,Team Heretics,0,2,Team Heretics won,
VCT 2025: EMEA Stage 2,Group Stage,Week 4,KOI vs Apeks,KOI,Apeks,2,1,KOI won,
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Gentle Mates vs GIANTX,Gentle Mates,GIANTX,1,2,GIANTX won,
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Natus Vincere vs Karmine Corp,Natus Vincere,Karmine Corp,2,0,Natus Vincere won,
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Vitality vs BBL Esports,Team Vitality,BBL Esports,1,2,BBL Esports won,
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Liquid vs FNATIC,Team Liquid,FNATIC,2,0,Team Liquid won,
VCT 2025: EMEA Stage 2,Group Stage,Week 5,KOI vs Natus Vincere,KOI,Natus Vincere,1,2,Natus Vincere won,
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Apeks vs FNATIC,Apeks,FNATIC,0,2,FNATIC won,
VCT 2025: EMEA Stage 2,Group Stage,Week 5,GIANTX vs Team Heretics,GIANTX,Team Heretics,0,2,Team Heretics won,
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Gentle Mates vs Team Vitality,Gentle Mates,Team Vitality,1,2,Team Vitality won,
VCT 2025: EMEA Stage 2,Group Stage,Week 5,FUT Esports vs BBL Esports,FUT Esports,BBL Esports,0,2,BBL Esports won,
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Team Liquid vs Karmine Corp,Team Liquid,Karmine Corp,1,2,Karmine Corp won,
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs TALON,BOOM Esports,TALON,0,2,TALON won,
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Nongshim RedForce vs Team Secret,Nongshim RedForce,Team Secret,2,1,Nongshim RedForce won,
VCT 2025: Pacific Stage 2,Group Stage,Week 1,T1 vs Paper Rex,T1,Paper Rex,0,2,Paper Rex won,
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Gen.G,DRX,Gen.G,0,2,Gen.G won,
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Rex Regum Qeon vs Global Esports,Rex Regum Qeon,Global Esports,0,2,Global Esports won,
VCT 2025: Pacific Stage 2,Group Stage,Week 1,ZETA DIVISION vs DetonatioN FocusMe,ZETA DIVISION,DetonatioN FocusMe,1,2,DetonatioN FocusMe won,
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Nongshim RedForce,DRX,Nongshim RedForce,2,1,DRX won,
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs T1,BOOM Esports,T1,0,2,T1 won,
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,Global Esports,Team Secret,1,2,Team Secret won,
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Paper Rex vs DetonatioN FocusMe,Paper Rex,DetonatioN FocusMe,2,0,Paper Rex won,
VCT 2025: Pacific Stage 2,Group Stage,Week 1,TALON vs ZETA DIVISION,TALON,ZETA DIVISION,2,0,TALON won,
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Rex Regum Qeon vs Gen.G,Rex Regum Qeon,Gen.G,2,1,Rex Regum Qeon won,
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Gen.G vs Global Esports,Gen.G,Global Esports,2,1,Gen.G won,
VCT 2025: Pacific Stage 2,Group Stage,Week 2,TALON vs DetonatioN FocusMe,TALON,DetonatioN FocusMe,1,2,DetonatioN FocusMe won,
VCT 2025: Pacific Stage 2,Group Stage,Week 2,T1 vs ZETA DIVISION,T1,ZETA DIVISION,2,0,T1 won,
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Rex Regum Qeon vs Nongshim RedForce,Rex Regum Qeon,Nongshim RedForce,2,1,Rex Regum Qeon won,
VCT 2025: Pacific Stage 2,Group Stage,Week 2,DRX vs Team Secret,DRX,Team Secret,2,0,DRX won,
VCT 2025: Pacific Stage 2,Group Stage,Week 2,BOOM Esports vs Paper Rex,BOOM Esports,Paper Rex,0,2,Paper Rex won,
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Gen.G vs Team Secret,Gen.G,Team Secret,2,0,Gen.G won,
VCT 2025: Pacific Stage 2,Group Stage,Week 3,TALON vs T1,TALON,T1,2,0,TALON won,
VCT 2025: Pacific Stage 2,Group Stage,Week 3,BOOM Esports vs DetonatioN FocusMe,BOOM Esports,DetonatioN FocusMe,0,2,DetonatioN FocusMe won,
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Rex Regum Qeon vs DRX,Rex Regum Qeon,DRX,0,2,DRX won,
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Nongshim RedForce vs Global Esports,Nongshim RedForce,Global Esports,2,0,Nongshim RedForce won,
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Paper Rex vs ZETA DIVISION,Paper Rex,ZETA DIVISION,0,2,ZETA DIVISION won,
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Gen.G vs Nongshim RedForce,Gen.G,Nongshim RedForce,0,2,Nongshim RedForce won,
VCT 2025: Pacific Stage 2,Group Stage,Week 4,TALON vs Paper Rex,TALON,Paper Rex,0,2,Paper Rex won,
VCT 2025: Pacific Stage 2,Group Stage,Week 4,DRX vs Global Esports,DRX,Global Esports,2,0,DRX won,
VCT 2025: Pacific Stage 2,Group Stage,Week 4,BOOM Esports vs ZETA DIVISION,BOOM Esports,ZETA DIVISION,1,2,ZETA DIVISION won,
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Rex Regum Qeon vs Team Secret,Rex Regum Qeon,Team Secret,2,1,Rex Regum Qeon won,
VCT 2025: Pacific Stage 2,Group Stage,Week 4,T1 vs DetonatioN FocusMe,T1,DetonatioN FocusMe,2,0,T1 won,
VCT 2025: China Stage 2,Group Stage,Week 1,EDward Gaming vs Titan Esports Club,EDward Gaming,Titan Esports Club,2,0,EDward Gaming won,
VCT 2025: China Stage 2,Group Stage,Week 1,Bilibili Gaming vs TYLOO,Bilibili Gaming,TYLOO,2,0,Bilibili Gaming won,
VCT 2025: China Stage 2,Group Stage,Week 1,All Gamers vs Xi Lai Gaming,All Gamers,Xi Lai Gaming,1,2,Xi Lai Gaming won,
VCT 2025: China Stage 2,Group Stage,Week 1,Wolves Esports vs FunPlus Phoenix,Wolves Esports,FunPlus Phoenix,0,2,FunPlus Phoenix won,
VCT 2025: China Stage 2,Group Stage,Week 1,Dragon Ranger Gaming vs Nova Esports,Dragon Ranger Gaming,Nova Esports,2,1,Dragon Ranger Gaming won,
VCT 2025: China Stage 2,Group Stage,Week 1,JDG Esports vs Trace Esports,JDG Esports,Trace Esports,1,2,Trace Esports won,
VCT 2025: China Stage 2,Group Stage,Week 2,Trace Esports vs TYLOO,Trace Esports,TYLOO,0,2,TYLOO won,
VCT 2025: China Stage 2,Group Stage,Week 2,FunPlus Phoenix vs Nova Esports,FunPlus Phoenix,Nova Esports,2,1,FunPlus Phoenix won,
VCT 2025: China Stage 2,Group Stage,Week 2,All Gamers vs Wolves Esports,All Gamers,Wolves Esports,2,0,All Gamers won,
VCT 2025: China Stage 2,Group Stage,Week 2,JDG Esports vs Bilibili Gaming,JDG Esports,Bilibili Gaming,1,2,Bilibili Gaming won,
VCT 2025: China Stage 2,Group Stage,Week 2,TYLOO vs Titan Esports Club,TYLOO,Titan Esports Club,2,0,TYLOO won,
VCT 2025: China Stage 2,Group Stage,Week 2,Trace Esports vs EDward Gaming,Trace Esports,EDward Gaming,2,1,Trace Esports won,
VCT 2025: China Stage 2,Group Stage,Week 2,Dragon Ranger Gaming vs All Gamers,Dragon Ranger Gaming,All Gamers,2,1,Dragon Ranger Gaming won,
VCT 2025: China Stage 2,Group Stage,Week 2,Xi Lai Gaming vs Wolves Esports,Xi Lai Gaming,Wolves Esports,2,0,Xi Lai Gaming won,
VCT 2025: China Stage 2,Group Stage,Week 3,Titan Esports Club vs Bilibili Gaming,Titan Esports Club,Bilibili Gaming,0,2,Bilibili Gaming won,
VCT 2025: China Stage 2,Group Stage,Week 3,FunPlus Phoenix vs Dragon Ranger Gaming,FunPlus Phoenix,Dragon Ranger Gaming,2,1,FunPlus Phoenix won,
